topic_id,title,brief,tags,priority,status,reserved_by,reserved_at,reservation_expires_at,last_job_id,last_published_at,notes
"story-001","Почему шампунь не работает, если он не под задачу","Короткая тема про то, как подобрать шампунь под кожу головы и не ждать от него лишнего.","уход;шампунь;кожа головы;советы",1,"ready","","","","","","cluster:routine"
"story-002","Как понять, что коже головы нужен более мягкий уход","Тема про признаки чувствительной кожи и что в уходе стоит сразу упростить.","кожа головы;чувствительность;уход;советы",1,"ready","","","","","","cluster:scalp"
"story-003","Кондиционер и маска: что из этого нужно чаще","Понятный пост про разницу между кондиционером и маской без сложных объяснений.","кондиционер;маска;уход;длина",1,"ready","","","","","","cluster:products"
"story-004","Зачем волосам термозащита даже без утюжка","Короткое объяснение про фен, горячий воздух и повседневную защиту длины.","термозащита;фен;уход;защита",1,"ready","","","","","","cluster:heat"
"story-005","Почему длина выглядит уставшей уже на второй день","Тема про бытовые привычки, которые быстро делают волосы менее свежими.","длина;свежесть;привычки;уход",1,"ready","","","","","","cluster:daily"
"story-006","Как не перегружать волосы уходом","Пост про лишние слои средств и почему иногда лучше меньше, чем больше.","уход;перегруз;несмываемый уход;баланс",2,"ready","","","","","","cluster:products"
"story-007","Что делать, если корни быстро теряют свежесть","Тема про привычки мытья, сушки и укладки, которые влияют на ощущение чистоты.","корни;свежесть;кожа головы;мытье",1,"ready","","","","","","cluster:scalp"
"story-008","Почему мокрые волосы нельзя тереть полотенцем","Короткий полезный пост про простую ошибку после мытья и ее последствия.","полотенце;ломкость;уход;ошибки",1,"ready","","","","","","cluster:mistakes"
"story-009","Как сохранить мягкость после окрашивания","Тема про домашний уход, который помогает цвету и длине выглядеть аккуратно.","окрашивание;мягкость;цвет;уход",1,"ready","","","","","","cluster:color"
"story-010","Когда волосам нужен не новый уход, а меньше лишнего","Пост про момент, когда лучше убрать лишние средства и вернуть базу.","уход;база;минимализм;волосы",2,"ready","","","","","","cluster:balance"
"story-011","Почему расческа тоже влияет на состояние длины","Тема про простую вещь, о которой часто забывают в домашнем уходе.","расческа;длина;уход;привычки",2,"ready","","","","","","cluster:daily"
"story-012","Как понять, что маски стало слишком много","Пост про признаки перегруза и почему волосы могут выглядеть тяжелее.","маска;перегруз;плотность;уход",2,"ready","","","","","","cluster:products"
"story-013","Что портит объем у корней в обычной жизни","Короткая тема про повседневные привычки, которые съедают объем.","объем;корни;укладка;привычки",1,"ready","","","","","","cluster:volume"
"story-014","Как сушить волосы, чтобы они не пушились","Пост про сушку без лишнего пушения и хаоса по длине.","сушка;пушистость;фен;длина",1,"ready","","","","","","cluster:heat"
"story-015","Почему цвет быстро тускнеет дома","Тема про воду, уход и привычки, которые ускоряют потерю блеска.","цвет;блеск;уход;дом",1,"ready","","","","","","cluster:color"
"story-016","Как выбрать уход на каждый день, а не на один раз","Пост про базовый набор средств, который реально удобно использовать.","ежедневный уход;база;средства;советы",2,"ready","","","","","","cluster:routine"
"story-017","Что делать перед сном, чтобы утром было проще уложить волосы","Тема про вечерние привычки, которые экономят время утром.","сон;вечер;укладка;привычки",2,"ready","","","","","","cluster:daily"
"story-018","Почему не стоит менять уход каждую неделю","Короткий пост про стабильность и почему волосам нужна понятная схема.","уход;стабильность;средства;режим",2,"ready","","","","","","cluster:routine"
"story-019","Как не испортить результат после салона","Пост про первые дни после визита и самые частые ошибки дома.","результат;после салона;ошибки;уход",1,"ready","","","","","","cluster:aftercare"
"story-020","Когда волосам нужна пауза от горячей укладки","Тема про отдых от утюжка и фена, когда длина уже устала.","укладка;горячий воздух;пауза;защита",1,"ready","","","","","","cluster:heat"
"story-021","Как понять, что длине не хватает увлажнения","Пост про сухость, жесткость и ощущение уставших концов.","увлажнение;сухость;длина;уход",1,"ready","","","","","","cluster:balance"
"story-022","Почему волосы путаются даже если они чистые","Тема про структуру, сухость и бытовые причины спутывания.","спутывание;чистые волосы;длина;уход",1,"ready","","","","","","cluster:daily"
"story-023","Что важно знать про несмываемый уход","Короткий пост про кремы, спреи и средства, которые остаются на волосах.","несмываемый уход;крем;спрей;защита",2,"ready","","","","","","cluster:products"
"story-024","Как сохранить плотность и не утяжелить волосы","Тема про баланс между уходом и легкостью по длине.","плотность;утяжеление;уход;длина",2,"ready","","","","","","cluster:balance"
"story-025","Почему кожа головы и длина любят разный уход","Пост про то, что корням и длине часто нужны разные шаги.","кожа головы;длина;разный уход;баланс",1,"ready","","","","","","cluster:scalp"
"story-026","Как ухаживать за волосами в сезон шапок","Тема про холодный сезон, статичность и потерю аккуратности.","шапки;сезон;уход;статичность",2,"ready","","","","","","cluster:season"
"story-027","Что делать, если концы выглядят суше корней","Короткая тема про длину, которой обычно не хватает мягкости.","концы;сухость;длина;уход",1,"ready","","","","","","cluster:balance"
"story-028","Когда лучше не перегружать волосы маслами","Пост про масла, блеск и момент, когда их становится слишком много.","масла;перегруз;блеск;уход",2,"ready","","","","","","cluster:products"
"story-029","Как подготовить волосы к укладке дома","Тема про простую базу перед сушкой и стайлингом без лишних шагов.","укладка;подготовка;дом;уход",2,"ready","","","","","","cluster:routine"
"story-030","Привычки, которые помогают волосам выглядеть аккуратнее каждый день","Общий пост про маленькие действия, которые реально меняют вид волос.","привычки;аккуратность;уход;каждый день",1,"ready","","","","","","cluster:daily"
