topic_id,title,brief,tags,priority,status,reserved_by,reserved_at,reservation_expires_at,last_job_id,last_published_at,notes
"slider-001","5 средств для базового ухода дома","Пятислайдовая карусель про понятный домашний набор без перегруза и лишних баночек.","уход;средства;дом;карусель",1,"ready","","","","","","cluster:products"
"slider-002","Как мыть волосы, чтобы они дольше выглядели свежими","Пошаговая инструкция по мытью, которая помогает сохранить аккуратный вид дольше.","мытье;свежесть;уход;инструкция",1,"ready","","","","","","cluster:wash"
"slider-003","6 ошибок, которые портят результат после салона","Карусель про привычки в первые дни после визита и как их избежать.","ошибки;после салона;уход;памятка",1,"ready","","","","","","cluster:aftercare"
"slider-004","Как выбрать шампунь под свой тип кожи головы","Короткий разбор с понятными шагами и без сложной терминологии.","шампунь;кожа головы;выбор;уход",1,"ready","","","","","","cluster:scalp"
"slider-005","Когда нужна маска, а когда достаточно кондиционера","Понятная карусель про разницу между базовым и более плотным уходом.","маска;кондиционер;уход;разница",1,"ready","","","","","","cluster:products"
"slider-006","Как сушить волосы без лишней пушистости","Инструкция по сушке и направлению воздуха для более спокойной длины.","сушка;пушистость;фен;инструкция",1,"ready","","","","","","cluster:heat"
"slider-007","Что делать с волосами перед сном","Чек-лист из нескольких простых шагов для вечерней рутины.","сон;вечер;привычки;чек-лист",2,"ready","","","","","","cluster:daily"
"slider-008","Термозащита: когда она нужна на самом деле","Карусель про тепло, фен и горячую укладку без лишней теории.","термозащита;тепло;укладка;защита",1,"ready","","","","","","cluster:heat"
"slider-009","Как сохранить цвет дольше","Практические слайды про домашние привычки после окрашивания.","цвет;окрашивание;сохранение;уход",1,"ready","","","","","","cluster:color"
"slider-010","Почему волосы быстро теряют объем","Разбор причин, из-за которых корни теряют легкость в обычной жизни.","объем;корни;привычки;уход",1,"ready","","","","","","cluster:volume"
"slider-011","Пошаговый уход для сухих концов","Короткая схема для длины, которой не хватает мягкости и плотности.","концы;сухость;уход;пошагово",1,"ready","","","","","","cluster:balance"
"slider-012","Простой домашний уход после окрашивания","Памятка из нескольких шагов для спокойного поддержания результата.","окрашивание;дом;уход;памятка",1,"ready","","","","","","cluster:color"
"slider-013","Как не перегружать волосы маслами","Карусель про блеск, тяжесть и момент, когда средств становится слишком много.","масла;перегруз;длина;баланс",2,"ready","","","","","","cluster:products"
"slider-014","Что важно делать раз в неделю","Недельный мини-план ухода без сложных пунктов и лишней нагрузки.","недельный уход;план;рутина;уход",2,"ready","","","","","","cluster:routine"
"slider-015","Как расчесывать волосы без лишней ломкости","Пошаговая памятка по расчесыванию и аккуратному обращению с длиной.","расчесывание;ломкость;длина;пошагово",1,"ready","","","","","","cluster:daily"
"slider-016","Чек-лист перед укладкой дома","Короткая инструкция, что проверить до фена, брашинга и стайлинга.","укладка;дом;чек-лист;подготовка",2,"ready","","","","","","cluster:heat"
"slider-017","Как ухаживать за волосами в холодный сезон","Слайды про шапки, сухой воздух и защиту длины в холодное время.","сезон;шапки;уход;холод",2,"ready","","","","","","cluster:season"
"slider-018","Что помогает волосам выглядеть аккуратно между визитами","Карусель про простые привычки, которые удерживают опрятный вид дольше.","между визитами;аккуратность;уход;привычки",1,"ready","","","","","","cluster:aftercare"
"slider-019","5 привычек, которые делают длину чище на вид","Небольшая карусель о повседневных действиях, которые реально заметны.","привычки;длина;чистый вид;уход",1,"ready","","","","","","cluster:daily"
"slider-020","Что делать, если корни быстро жирнеют","Разбор простых причин и действий без лишней диагностики.","корни;жирность;кожа головы;инструкция",1,"ready","","","","","","cluster:scalp"
"slider-021","Как выбрать несмываемый уход","Памятка о кремах, спреях и легкой защите на каждый день.","несмываемый уход;спрей;крем;выбор",2,"ready","","","","","","cluster:products"
"slider-022","Что не стоит делать сразу после салона","Короткая инструкция о первых часах и днях после визита.","после салона;ошибки;уход;инструкция",1,"ready","","","","","","cluster:aftercare"
"slider-023","Памятка по уходу за тонкими волосами","Карусель с простыми шагами для тонкой и более деликатной длины.","тонкие волосы;уход;памятка;объем",1,"ready","","","","","","cluster:hair type"
"slider-024","Памятка по уходу за плотными и тяжелыми волосами","Карусель про плотную структуру, вес и аккуратную базу ухода.","плотные волосы;уход;памятка;плотность",1,"ready","","","","","","cluster:hair type"
"slider-025","Как не испортить укладку дома","Схема из нескольких шагов, чтобы домашняя укладка держалась спокойнее.","укладка;дом;стойкость;ошибки",1,"ready","","","","","","cluster:heat"
"slider-026","5 простых правил для аккуратных кончиков","Короткая карусель про длину, мягкость и бытовую осторожность.","кончики;уход;правила;длина",1,"ready","","","","","","cluster:balance"
"slider-027","Как выбрать уход по длине, а не по упаковке","Памятка про выбор средств по задаче, а не по красивой банке.","уход;длина;выбор;средства",2,"ready","","","","","","cluster:products"
"slider-028","Что помогает волосам меньше путаться","Разбор причин спутывания и понятные шаги для более спокойной длины.","спутывание;длина;уход;памятка",1,"ready","","","","","","cluster:daily"
"slider-029","Как собрать базовый набор средств без лишнего","Карусель про минимальный и рабочий набор домашнего ухода.","база;набор средств;уход;минимум",2,"ready","","","","","","cluster:routine"
"slider-030","План ухода на неделю","Простой недельный маршрут: мытье, питание, защита и отдых для волос.","план;неделя;рутина;уход",2,"ready","","","","","","cluster:routine"
