topic_id,title,brief,tags,priority,status,reserved_by,reserved_at,reservation_expires_at,last_job_id,last_published_at,notes
"creative-001","Когда клиент говорит: только подровнять кончики","Одна короткая смешная карточка про знакомую фразу, которая обычно значит совсем не только это.","юмор;клиент;фраза;салон",1,"ready","","","","","","cluster:client phrases"
"creative-002","До встречи у зеркала осталось пять минут","Легкий креатив про вечную спешку перед записью и салонный тайминг.","юмор;время;зеркало;салон",1,"ready","","","","","","cluster:salon life"
"creative-003","Салонный кофе и еще одна просьба на полчаса","Шутка про то, как одна маленькая просьба легко растягивает визит.","юмор;запись;салон;просьбы",1,"ready","","","","","","cluster:client phrases"
"creative-004","Тот момент, когда длина просит уже не масло, а отпуск","Ироничная карточка про уставшие волосы и желание дать им паузу.","юмор;длина;уход;отпуск",2,"ready","","","","","","cluster:care joke"
"creative-005","Почему в сумке у клиента всегда находится резинка","Короткий креатив про привычку, которую замечает почти каждый мастер.","юмор;привычки;резинка;клиент",2,"ready","","","","","","cluster:daily habits"
"creative-006","Любимый вопрос: а это точно будет быстро","Шутка про ожидания по времени и реальность сложной работы.","юмор;время;салон;запись",1,"ready","","","","","","cluster:client phrases"
"creative-007","Шампунь, кондиционер и маска спорят о главной роли","Легкий предметный креатив с персонажами-средствами без людей.","юмор;средства;уход;предметы",1,"ready","","","","","","cluster:object humor"
"creative-008","Что думает расческа, когда ее игнорируют","Маленькая шутка про расческу и ежедневный уход за волосами.","юмор;расческа;уход;привычки",2,"ready","","","","","","cluster:tools"
"creative-009","День, когда утюжок устал сильнее меня","Ироничный креатив про частую горячую укладку и ее цену.","юмор;утюжок;укладка;термозащита",1,"ready","","","","","","cluster:heat joke"
"creative-010","Когда прическа держится лучше, чем планы на вечер","Смешная карточка про стойкость результата и бытовую иронию.","юмор;стойкость;прическа;вечер",2,"ready","","","","","","cluster:salon life"
"creative-011","Салонный стул: место, где начинается магия","Небольшой креатив про обычный салонный момент до и после работы.","юмор;стул;салон;магия",2,"ready","","","","","","cluster:salon life"
"creative-012","Топ-5 вещей, которые стилист слышит каждый день","Карточка с узнаваемыми фразами и легкой самоиронией.","юмор;стилист;фразы;салон",1,"ready","","","","","","cluster:client phrases"
"creative-013","Почему волосы всегда ведут себя лучше перед выходом","Классическая бытовая шутка про характер волос и непредсказуемость.","юмор;волосы;выход;характер",2,"ready","","","","","","cluster:hair behavior"
"creative-014","Когда клиент показывает фото и говорит: примерно так","Легкий креатив про референсы и очень точное слово примерно.","юмор;референс;клиент;салон",1,"ready","","","","","","cluster:client phrases"
"creative-015","Немного драмы про пушистую длину","Мини-креатив про пушение, влажность и настроение волос.","юмор;пушистость;длина;драма",2,"ready","","","","","","cluster:hair behavior"
"creative-016","Сухой шампунь тоже иногда просит выходной","Ироничная карточка про средства, которым не стоит доверять все сразу.","юмор;сухой шампунь;уход;баланс",2,"ready","","","","","","cluster:products"
"creative-017","Миссия: не дать кончикам устроить хаос","Короткий веселый посыл про аккуратные концы и базовый контроль.","юмор;концы;аккуратность;уход",2,"ready","","","","","","cluster:care joke"
"creative-018","Уход, который выглядит серьезно, но ведет себя спокойно","Небольшой предметный креатив про простую рабочую базу ухода.","юмор;уход;спокойный;база",2,"ready","","","","","","cluster:products"
"creative-019","Вечер, когда фен и я снова команда","Карточка про привычный рабочий дуэт и спокойную рутину.","юмор;фен;рутина;салон",2,"ready","","","","","","cluster:tools"
"creative-020","Любимая проблема: волосы хотят объем, но без усилий","Шутка про объем и вечный запрос на легкий результат.","юмор;объем;клиент;волосы",1,"ready","","","","","","cluster:volume"
"creative-021","Когда маска для волос становится поводом для шутки","Легкая карточка про уход и привычку относиться к нему без пафоса.","юмор;маска;уход;креатив",2,"ready","","","","","","cluster:products"
"creative-022","Секрет идеального дня стилиста: чай, щетка и терпение","Небольшой креатив про рабочий ритм в салоне и спокойную подачу.","юмор;день мастера;ритм;салон",2,"ready","","","","","","cluster:salon life"
"creative-023","Что происходит, когда клиент приносит свое понимание легкости","Ироничная карточка про разницу между ожиданием и реальным уходом.","юмор;клиент;легкость;уход",1,"ready","","","","","","cluster:client phrases"
"creative-024","День, когда корни решили жить отдельно от длины","Шутка про разный характер корней и длины в одной прическе.","юмор;корни;длина;объем",2,"ready","","","","","","cluster:hair behavior"
"creative-025","Почему у каждого мастера есть своя любимая фраза","Креатив про профессиональные привычки и узнаваемую речь в салоне.","юмор;мастер;фразы;салон",2,"ready","","","","","","cluster:salon life"
"creative-026","Самый честный совет про домашний уход","Легкая карточка с дружеским тоном и без морализаторства.","юмор;домашний уход;совет;честно",1,"ready","","","","","","cluster:care joke"
"creative-027","Когда красивый результат держится дольше, чем настроение","Ироничная карточка про стойкость укладки и переменчивый день.","юмор;стойкость;результат;настроение",2,"ready","","","","","","cluster:salon life"
"creative-028","Стул у зеркала и пять минут тишины","Короткий атмосферный креатив про салонный паузный момент.","юмор;зеркало;тишина;салон",2,"ready","","","","","","cluster:salon life"
"creative-029","Немного юмора про теплую воду и волосы","Простой предметный креатив про привычки, которые всем знакомы.","юмор;теплая вода;уход;привычки",2,"ready","","","","","","cluster:daily habits"
"creative-030","Когда уход выглядит как простой ритуал, а не сложная схема","Легкая карточка про понятный уход без перегруза и лишнего драматизма.","юмор;ритуал;уход;простота",1,"ready","","","","","","cluster:care joke"
